iter	Passed	Remaining
0	133	133706
1	148	74268
2	158	52799
3	166	41418
4	171	34214
5	176	29238
6	181	25724
7	186	23070
8	190	20994
9	195	19339
10	201	18076
11	206	16994
12	211	16083
13	217	15351
14	224	14717
15	229	14141
16	236	13649
17	241	13178
18	247	12757
19	252	12390
20	258	12040
21	263	11728
22	269	11435
23	274	11172
24	280	10929
25	285	10699
26	291	10492
27	296	10304
28	303	10145
29	309	10006
30	315	9864
31	321	9726
32	328	9622
33	334	9499
34	340	9385
35	348	9332
36	354	9227
37	361	9143
38	366	9040
39	373	8955
40	379	8872
41	385	8783
42	390	8699
43	396	8616
44	402	8536
45	409	8483
46	414	8407
47	420	8336
48	426	8283
49	432	8219
50	438	8162
51	444	8105
52	450	8049
53	456	8003
54	462	7951
55	468	7897
56	474	7848
57	480	7798
58	485	7749
59	492	7712
60	498	7666
61	503	7621
62	509	7582
63	515	7539
64	521	7498
65	526	7456
66	532	7415
67	538	7375
68	543	7335
69	548	7293
70	555	7267
71	561	7235
72	567	7205
73	573	7177
74	579	7144
75	585	7117
76	590	7082
77	596	7047
78	602	7022
79	608	6994
80	613	6965
81	621	6961
82	627	6933
83	633	6906
84	639	6885
85	645	6861
86	651	6836
87	657	6811
88	662	6785
89	669	6771
90	675	6745
91	681	6723
92	687	6701
93	692	6677
94	698	6657
95	704	6634
96	710	6611
97	715	6589
98	721	6568
99	727	6546
100	733	6526
101	738	6503
102	744	6485
103	750	6469
104	756	6449
105	762	6433
106	768	6415
107	774	6393
108	779	6375
109	787	6368
110	792	6348
111	799	6335
112	804	6317
113	811	6307
114	817	6291
115	823	6273
116	829	6261
117	835	6245
118	841	6230
119	847	6216
120	853	6199
121	859	6185
122	865	6170
123	870	6150
124	876	6137
125	882	6119
126	888	6104
127	893	6088
128	899	6073
129	904	6054
130	910	6041
131	916	6025
132	921	6010
133	928	5999
134	934	5985
135	939	5971
136	945	5959
137	951	5943
138	957	5929
139	962	5914
140	968	5899
141	974	5889
142	980	5876
143	986	5862
144	992	5852
145	998	5839
146	1004	5826
147	1010	5814
148	1016	5804
149	1022	5791
150	1027	5779
151	1033	5767
152	1040	5757
153	1045	5744
154	1051	5732
155	1057	5721
156	1063	5710
157	1069	5700
158	1075	5689
159	1081	5679
160	1087	5667
161	1093	5655
162	1098	5641
163	1104	5630
164	1110	5619
165	1116	5606
166	1121	5595
167	1127	5584
168	1133	5573
169	1139	5561
170	1144	5549
171	1150	5538
172	1156	5527
173	1162	5517
174	1168	5510
175	1174	5500
176	1180	5490
177	1187	5484
178	1193	5474
179	1199	5464
180	1205	5454
181	1211	5443
182	1218	5439
183	1223	5427
184	1229	5417
185	1236	5409
186	1241	5399
187	1248	5390
188	1254	5382
189	1260	5372
190	1266	5364
191	1272	5355
192	1278	5345
193	1284	5335
194	1289	5324
195	1295	5315
196	1301	5305
197	1307	5294
198	1313	5285
199	1319	5277
200	1324	5266
201	1330	5256
202	1335	5244
203	1341	5233
204	1347	5224
205	1352	5213
206	1358	5204
207	1365	5197
208	1370	5187
209	1377	5182
210	1383	5174
211	1389	5165
212	1451	5363
213	1458	5355
214	1464	5348
215	1479	5368
216	1485	5359
217	1491	5349
218	1497	5340
219	1503	5332
220	1510	5322
221	1516	5313
222	1522	5303
223	1528	5293
224	1533	5283
225	1539	5273
226	1545	5263
227	1551	5254
228	1558	5247
229	1564	5236
230	1570	5227
231	1576	5219
232	1583	5211
233	1588	5201
234	1594	5190
235	1599	5179
236	1606	5170
237	1611	5159
238	1617	5150
239	1623	5141
240	1629	5131
241	1635	5121
242	1641	5112
243	1646	5102
244	1653	5095
245	1659	5087
246	1665	5076
247	1671	5068
248	1677	5058
249	1683	5050
250	1690	5045
251	1696	5036
252	1702	5027
253	1708	5017
254	1714	5010
255	1720	5001
256	1726	4990
257	1732	4981
258	1737	4972
259	1743	4962
260	1749	4953
261	1755	4943
262	1760	4933
263	1766	4925
264	1772	4916
265	1778	4906
266	1785	4901
267	1791	4893
268	1797	4885
269	1804	4878
270	1810	4870
271	1816	4862
272	1822	4852
273	1828	4844
274	1834	4836
275	1840	4829
276	1847	4821
277	1852	4811
278	1858	4801
279	1864	4795
280	1870	4786
281	1876	4777
282	1882	4769
283	1888	4760
284	1894	4752
285	1900	4743
286	1905	4734
287	1911	4725
288	1917	4716
289	1922	4707
290	1929	4701
291	1935	4693
292	1941	4685
293	1947	4677
294	1953	4668
295	1959	4660
296	1965	4652
297	1971	4644
298	1978	4637
299	1984	4629
300	1989	4620
301	1996	4613
302	2001	4605
303	2007	4596
304	2013	4588
305	2019	4579
306	2025	4571
307	2030	4562
308	2036	4553
309	2042	4546
310	2048	4538
311	2054	4530
312	2060	4522
313	2066	4514
314	2072	4507
315	2078	4499
316	2084	4492
317	2091	4484
318	2096	4476
319	2102	4467
320	2108	4459
321	2113	4450
322	2119	4442
323	2125	4433
324	2130	4425
325	2136	4418
326	2142	4409
327	2148	4400
328	2153	4392
329	2159	4384
330	2165	4376
331	2171	4368
332	2177	4360
333	2182	4352
334	2189	4346
335	2194	4337
336	2200	4329
337	2206	4321
338	2212	4313
339	2218	4306
340	2224	4298
341	2229	4289
342	2235	4282
343	2241	4274
344	2247	4267
345	2254	4261
346	2260	4253
347	2266	4246
348	2272	4238
349	2278	4230
350	2284	4223
351	2290	4217
352	2296	4209
353	2302	4201
354	2307	4193
355	2313	4185
356	2319	4177
357	2324	4169
358	2330	4161
359	2336	4153
360	2342	4146
361	2348	4139
362	2354	4132
363	2360	4124
364	2366	4117
365	2372	4109
366	2378	4102
367	2384	4094
368	2389	4086
369	2395	4079
370	2401	4071
371	2407	4063
372	2414	4058
373	2420	4050
374	2426	4043
375	2432	4036
376	2437	4028
377	2443	4021
378	2449	4014
379	2455	4006
380	2461	3999
381	2468	3993
382	2474	3986
383	2497	4006
384	2503	3999
385	2510	3993
386	2516	3986
387	2523	3979
388	2529	3972
389	2535	3965
390	2541	3958
391	2547	3950
392	2553	3943
393	2559	3936
394	2565	3929
395	2571	3921
396	2576	3914
397	2582	3906
398	2588	3899
399	2594	3891
400	2599	3883
401	2606	3877
402	2612	3869
403	2617	3861
404	2623	3854
405	2629	3847
406	2636	3840
407	2642	3833
408	2647	3826
409	2654	3820
410	2661	3813
411	2667	3807
412	2673	3799
413	2679	3792
414	2685	3785
415	2691	3778
416	2697	3770
417	2703	3764
418	2709	3757
419	2715	3749
420	2721	3742
421	2726	3734
422	2732	3727
423	2738	3719
424	2743	3712
425	2750	3705
426	2756	3698
427	2761	3690
428	2768	3684
429	2773	3676
430	2779	3669
431	2786	3663
432	2792	3656
433	2798	3649
434	2804	3642
435	2810	3635
436	2817	3629
437	2823	3622
438	2829	3615
439	2835	3608
440	2841	3601
441	2847	3594
442	2852	3587
443	2858	3580
444	2866	3574
445	2872	3567
446	2878	3561
447	2884	3554
448	2890	3547
449	2896	3540
450	2902	3533
451	2908	3526
452	2914	3519
453	2919	3511
454	2925	3504
455	2931	3497
456	2937	3490
457	2943	3483
458	2949	3476
459	2954	3468
460	2960	3461
461	2966	3454
462	2972	3447
463	2978	3441
464	2984	3433
465	2990	3427
466	2996	3420
467	3003	3414
468	3009	3407
469	3015	3400
470	3021	3393
471	3027	3386
472	3033	3379
473	3039	3373
474	3045	3366
475	3051	3359
476	3057	3352
477	3064	3346
478	3071	3340
479	3077	3333
480	3082	3326
481	3088	3319
