Store_Name,Product_id,Is_StockAvailable,Is_Salesfloor,Is_Backroom,Store_Bestsellers_ratio,Cluster
PH07,7697,7328,6952,377,0.18604651162790697,0
PH09,6454,6191,6046,157,0.1375890920359467,1
PH10,6901,6548,5823,726,0.21678017678597306,1
PH11,7242,6891,5634,1259,0.2296326981496824,1
PH12,1808,1719,1506,213,0.10232300884955753,2
PH13,6371,6123,6068,56,0.17061685763616385,1
PH14,7917,7580,7519,61,0.17973980042945562,0
PH15,6788,6558,6517,41,0.1377430760164997,0
PH16,8400,8077,7452,627,0.17095238095238094,0
PH17,9106,8734,8207,527,0.29002855260267957,0
PH18,7963,7688,7558,131,0.182092176315459,0
PH20,4811,4603,4472,131,0.08044065682810227,1
PH21,7542,7220,6945,275,0.1618933969769292,0
PH22,8370,8048,7335,722,0.2014336917562724,0
PH25,4409,4283,4233,50,0.06713540485370832,1
PH26,5911,5656,5414,242,0.10319742852309254,1
PH27,5610,5425,5305,121,0.12085561497326203,1
PH28,6301,5980,5084,901,0.35724488176479924,1
PH29,3787,3646,3415,232,0.09162925798785318,1
PH32,7666,7315,7037,279,0.20532220193060266,0
PH33,6409,6137,5314,823,0.14651271649243253,1
PH36,5514,5289,4494,798,0.13166485310119697,1
PH37,4066,3893,3716,180,0.14436792916871619,1
PH38,4551,4243,3978,266,0.17930125247198417,1
PH39,1257,913,918,129,0.513126491646778,2
PH40,935,832,469,364,0.39358288770053473,2
